id,Difference Between Dates,quantity,demand,short_composition1
8,60,39,1.0,Azithromycin (500mg)
18,30,20,1.0,Phenylephrine (5mg/5ml) 
26,66,51,1.0,Salbutamol (100mcg)
39,28,30,2.0,Alprazolam (0.5mg)
41,22,16,1.0,Camylofin (25mg) 
50,47,34,1.0,Guaifenesin (50mg) 
70,44,22,1.0,Nimesulide (100mg)
96,60,49,1.0,Amlodipine (5mg)
101,65,40,1.0,Azithromycin (250mg)
103,24,24,2.0,Amoxycillin  (250mg) 
107,48,28,1.0,Acebrophylline (100mg) 
125,88,54,1.0,Amlodipine (5mg) 
135,49,29,1.0,Acenocoumarol (1mg)
152,99,59,1.0,Paracetamol/Acetaminophen  (325mg) 
159,38,27,1.0,Bromhexine (2mg/5ml) 
175,72,49,1.0,Sildenafil (20mg)
178,28,30,2.0,Atenolol (50mg)
209,16,25,2.0,Sitagliptin  (50mg) 
217,49,35,1.0,Telmisartan (40mg) 
222,94,51,1.0,Atorvastatin (10mg) 
244,89,54,1.0,Amoxycillin  (600mg/5ml) 
248,8,17,2.0,Bilastine (20mg) 
250,24,22,1.0,Acebrophylline (100mg) 
260,11,18,2.0,Amoxycillin  (250mg) 
284,92,66,1.0,Glimepiride (2mg) 
300,66,51,1.0,Amlodipine (10mg)
301,23,26,2.0,Ivermectin  (6mg) 
305,22,31,2.0,Atorvastatin (10mg)
317,75,56,1.0,Amitriptyline (12.5mg) 
338,58,46,1.0,Ciprofloxacin (500mg)
341,36,37,2.0,Disodium Hydrogen Citrate (NA)
351,85,57,1.0,Chlorpheniramine Maleate (2mg/ml) 
367,66,39,1.0,Azithromycin (500mg)
400,51,33,1.0,Azithromycin (200mg/5ml)
404,85,44,1.0,Metadoxine (500mg)
408,26,28,2.0,Telmisartan (40mg) 
414,63,43,1.0,Ketorolac (0.4% w/v) 
417,87,60,1.0,Amoxycillin (250mg) 
424,55,40,1.0,Atorvastatin (10mg) 
438,84,54,1.0,Alpha Ketoanalogue (200mg)
447,23,25,2.0,Hydroxyzine (25mg)
465,92,50,1.0,Benzoyl Peroxide (2.5% w/w) 
474,84,52,1.0,Amoxycillin (500mg)
487,97,62,1.0,Amitriptyline (25mg)
489,59,40,1.0,Levocetirizine (5mg) 
514,64,44,1.0,Amoxycillin (250mg)
523,27,29,2.0,Atorvastatin (80mg)
527,52,39,1.0,Aripiprazole (2mg)
556,6,22,3.0,Ticagrelor (60mg)
567,88,57,1.0,Azithromycin (250mg)
568,12,16,2.0,Atenolol (50mg) 
573,46,33,1.0,Sitagliptin (50mg)
576,92,50,1.0,Aceclofenac (100mg) 
603,79,43,1.0,Ampicillin (250mg) 
611,55,28,1.0,Ambrisentan (5mg)
635,93,51,1.0,Gabapentin (400mg) 
648,45,37,1.0,Acebrophylline (200mg)
649,21,26,2.0,Atorvastatin (5mg)
659,63,38,1.0,Phenylephrine (5mg/5ml) 
668,63,45,1.0,Azithromycin (500mg)
673,40,29,1.0,Potassium Citrate (1100mg/5ml) 
674,21,25,2.0,Bromhexine (2mg/5ml) 
703,39,24,1.0,Melatonin (10mg)
711,38,33,1.0,Atorvastatin (10mg) 
713,59,38,1.0,Fexofenadine (120mg)
719,13,22,2.0,Atorvastatin (20mg)
723,21,20,1.0,Telmisartan (40mg) 
739,31,21,1.0,Testosterone (1% w/w)
740,89,45,1.0,Atorvastatin (10mg) 
753,17,24,2.0,Atorvastatin (20mg) 
754,84,59,1.0,Fexofenadine (30mg)
755,94,58,1.0,Sevelamer (400mg)
758,64,45,1.0,Recombinant Human Erythropoietin Alfa (4000IU)
763,25,29,2.0,Naphazoline (0.056% w/v) 
769,57,38,1.0,Donepezil (10mg)
777,18,28,2.0,Hydrocortisone (1% w/v) 
782,66,36,1.0,Cyproheptadine (2mg/5ml) 
783,30,32,2.0,Atorvastatin (10mg) 
790,42,33,1.0,Guaifenesin (50mg) 
792,18,26,2.0,Dapsone (5% w/w) 
815,89,61,1.0,Lidocaine (1.5% w/w) 
819,37,30,1.0,Apremilast (10mg)
853,43,24,1.0,Aceclofenac (100mg) 
862,20,29,2.0,Azithromycin (100mg/5ml)
866,93,53,1.0,Amlodipine (5mg) 
881,65,51,1.0,Methylphenidate (18mg)
891,10,20,2.0,Amlodipine (5mg) 
896,17,15,1.0,Acetazolamide (250mg)
900,57,30,1.0,Aripiprazole (10mg)
901,87,56,1.0,Estradiol (1mg) 
906,64,45,1.0,Desloratadine (5mg)
922,23,21,1.0,Alprazolam (0.5mg)
938,78,50,1.0,Aceclofenac (200mg) 
943,75,56,1.0,Alpha Ketoanalogue (NA)
964,33,20,1.0,Ranitidine (25mg)
967,34,27,1.0,Amikacin (250mg)
1026,82,48,1.0,Aripiprazole (5mg)
1027,63,38,1.0,Aceclofenac (100mg) 
1029,37,29,1.0,Dulaglutide (0.75mg)
1034,91,46,1.0,Amitriptyline (10mg)
1042,66,46,1.0,Acitretin (10mg)
1052,11,24,2.0,Atorvastatin (10mg)
1090,34,26,1.0,Amlodipine (5mg) 
1101,70,47,1.0,Azithromycin (200mg/5ml)
1112,11,13,2.0,Amitriptyline (25mg)
1146,89,60,1.0,Atorvastatin (80mg)
1148,16,17,2.0,Azathioprine (50mg)
1154,61,33,1.0,Donepezil (10mg)
1156,65,50,1.0,Losartan (50mg) 
1174,19,18,1.0,Hydrocortisone (0.25% w/w) 
1178,77,54,1.0,Aceclofenac (100mg) 
1182,71,43,1.0,Levosulpiride (75mg) 
1191,60,46,1.0,Telmisartan (80mg) 
1193,93,56,1.0,Aceclofenac (100mg) 
1196,50,28,1.0,Aceclofenac (200mg)
1204,74,45,1.0,Diltiazem (120mg)
1221,33,32,1.0,Glimepiride (0.5mg) 
1223,69,37,1.0,Amitriptyline (10mg)
1226,35,30,1.0,Apixaban (5mg)
1232,20,19,1.0,Dicyclomine (10mg) 
1233,59,45,1.0,Cetirizine (2.5mg/5ml) 
1255,94,48,1.0,Paracetamol (500mg)
1262,95,49,1.0,Doxylamine (10mg) 
1264,11,19,2.0,Apremilast (30mg)
1265,46,43,1.0,Almotriptan (6.25mg)
1269,99,63,1.0,Atorvastatin (10mg)
1275,19,19,2.0,Ampicillin (500mg)
1279,38,22,1.0,Aspirin (50mg)
1295,28,32,2.0,Atorvastatin (20mg)
1303,12,19,2.0,Rosuvastatin (10mg) 
